Training_Loss,Training_KL_Divergence,Training_Reconstruction,Validation_Loss,Validation_KL_Divergence,Validation_Reconstruction,Number of training samples processed
210.46597595172784,6.43329728030843,-204.03267682295257,11.8690932957472,3.5921694325134816,-8.276924335851078,907
9.965726203666106,2.0448045194346167,-7.920921948147977,7.514406993325832,0.8834995506084071,-6.630907784521052,1814
7.472945465668297,0.6773089731672765,-6.795636497758321,8.602084548072478,0.6386588105058248,-7.963426032952503,2721
9.764916395799327,0.4216078778743218,-9.34330870639923,10.026258434869547,0.31586660115064774,-9.710391964532633,3628
8.659997009521282,0.405857248106497,-8.25413971199616,5.888335274384085,0.4313002603243938,-5.45703523348918,4535
8.221093434351676,0.42098025213660056,-7.800113270011995,7.233187886465967,0.2925277642444172,-6.940660054704784,5442
11.83446404479173,0.6915586775429587,-11.142905373031802,11.47387906302393,0.4190716321489452,-11.054807004675402,6349
10.426060550399495,0.5552439694893531,-9.870816332765557,8.988408029606912,0.5131350745142034,-8.475272929773922,7256
8.001005506042345,0.47380415581027097,-7.527201432771693,6.808461438238093,0.3558484347520676,-6.452612952848451,8163
6.3198244164245,0.27918820922666504,-6.04063625819365,9.46138582820386,0.22230536958812613,-9.239081188640764,9070
6.507223778023347,0.25488658592745644,-6.252337118230818,4.588073029982305,0.24913296657325948,-4.338939970573493,9977
17.96432281986224,1.3034529459910198,-16.66086948483098,16.113963414082484,0.5204484863618833,-15.593515311722207,10884
13.643589549711285,0.6899410045922394,-12.953648484134359,10.63278244659964,0.6065172094159421,-10.026264967116635,11791
9.668970312015487,0.485540445216304,-9.183429772693504,8.369858336659659,0.3133307642641321,-8.056528007034707,12698
7.896034114021713,0.2786395757437541,-7.617394427348918,8.687037349802203,0.24512249600570812,-8.441914786279728,13605
8.879374072464982,0.32604700885507737,-8.553327045209352,8.027625704233625,0.41485727360818236,-7.612768730231091,14512
7.543870077375015,0.4098515032144734,-7.134018735033937,6.616753341877355,0.3357804560028346,-6.280972776159776,15419
12.32435427689894,0.412045095300727,-11.912308891658089,11.356179608707935,0.30975400874045045,-11.046425473373548,16326
11.10833691762064,0.4887713978545537,-10.61956529711941,10.521212687534568,0.4338877433169205,-10.087324564435841,17233
10.461178592442153,0.45701851313800246,-10.004159996764532,9.953730566311727,0.41904181083746717,-9.534688898947387,18140
9.873079040216112,0.4741620428638395,-9.398917016278554,9.365199359117357,0.4702826559016135,-8.89491690576604,19047
9.218348505215713,0.5113066023476462,-8.707041991716446,8.650412863334724,0.4561845644385414,-8.19422804570831,19954
8.445643516464822,0.50145336916586,-7.944190280834396,7.801568352015672,0.5298972383009649,-7.271671531474696,20861
7.548917837679189,0.5476584350392469,-7.001259388445231,6.856058542707325,0.4767167420513862,-6.379342070723002,21768
6.525674367818444,0.5344077933583791,-5.991266656473953,5.656846928385507,0.5632569473401635,-5.093590120298672,22675
8.52482370820303,0.3528531336337492,-8.171970422107567,8.357543692124628,0.28636565672612824,-8.071177929903554,23582
7.946983522459322,0.49031908851211364,-7.456664382951394,7.258480806266312,0.4975481708492853,-6.7609319771285605,24489
6.88450397335839,0.5144193143539681,-6.370084625883428,5.9742214743014985,0.48270318782435057,-5.491518071267457,25396
5.2301138222809005,0.5031633871261445,-4.726950501396743,3.8358907615189004,0.4780195919813308,-3.3578711990761545,26303
10.142422267068444,0.40965998448768287,-9.732762413487546,10.323269683702858,0.15895939295270803,-10.164310691630945,27210
10.581907584622519,0.22908889866190682,-10.352818397597678,9.766264442848948,0.3075418978665782,-9.458722004848244,28117
8.874980468077066,0.42086070217397537,-8.45411977378904,7.841935984856259,0.5821369390572066,-7.259799045799053,29024
7.326265025953736,0.5294338565939973,-6.796831234024536,6.329569689995419,0.4704221961772547,-5.859147536016144,29931
5.4799523116998134,0.5007356472288761,-4.979216776451439,7.35040230033672,0.4611056378457399,-6.889296675150374,30838
4.783717808938999,0.4319685612124408,-4.35174916360975,3.690689791620305,0.41309989237152367,-3.277589916127973,31745
5.063348963610261,0.4296517808487292,-4.633697240591838,5.11339440809942,0.2868228992529675,-4.826571574253318,32652
5.054814100002638,0.4264392442713762,-4.628374921973249,4.136088554838063,0.4630898627559696,-3.6729984789823007,33559
3.4529832292680833,0.46029218318312537,-2.9926910715828656,2.1864004367220717,0.40871500757943213,-1.777685452351528,34466
2.052449528148445,0.42602003238429836,-1.6264295367710908,1.9495566946215335,0.16668196273061026,-1.7828749260016248,35373
1.8664627995222907,0.3835410890400475,-1.4829217380830708,0.49763103613250814,0.436540763990014,-0.06109024993086283,36280
6.482758553051765,0.492388095456158,-5.990370439326487,5.069695236408605,0.3744896956249676,-4.6952054184095,37187
4.815528189859948,0.4954287388096045,-4.320099562505114,3.81201639217613,0.4597679872428421,-3.352248402823389,38094
3.166292982301218,0.4928024327741831,-2.673490524291992,2.1728286500525686,0.44286036702383935,-1.7299682144570139,39001
7.634096375373916,0.42681525849717716,-7.20728093392268,7.28749972318126,0.617203349560763,-6.670296660566752,39908
6.985514026229674,0.5686498994732639,-6.416864027130564,6.158794449493948,0.5436005296960341,-5.615193864940542,40815
5.965887801518383,0.5734566995563949,-5.392431181347225,5.356512327109818,0.5086163250745925,-4.847895934518459,41722
5.025573972830305,0.5369849473139416,-4.488588961903027,3.9992306759927123,0.5005371802676041,-3.4986934155489493,42629
2.9306714911970833,0.5306789861887267,-2.399992523277476,1.4203760571184412,0.4579221632628314,-0.9624538506026816,43536
1.5502874278139975,0.5099333339384136,-1.0403540923025012,0.05845694336216006,0.48964422782965467,0.43118727523668676,44443
