Training_Loss,Training_KL_Divergence,Training_Reconstruction,Validation_Loss,Validation_KL_Divergence,Validation_Reconstruction,Number of optimiser steps
1055.4382630109524,17.21912647529106,-1038.219150227775,28.493966583657055,7.648797769462113,-20.845170012617533,29
20.179557840248453,3.528333352708238,-16.651224659979672,15.849926771315854,1.663850868697715,-14.186075396242394,58
18.37405381838831,1.3106693091176969,-17.06338457235822,17.65569482651432,1.5577728642826587,-16.097922266057108,87
19.370651625745747,0.930599981263822,-18.44005170020931,18.552809386126764,0.531243720940784,-18.02156485498479,116
16.831546602596127,0.510571121775197,-16.3209754750379,14.849414167150988,0.44971131012503024,-14.399702629156872,145
18.678170949647814,0.4444743180616688,-18.233696850289846,18.217862340201318,0.3523899432832161,-17.865471493881362,174
18.00504327582682,0.364319817102468,-17.640723349372504,17.47905348043526,0.3239056198997835,-17.155148396449807,203
17.39129935183625,0.34663944812173225,-17.044659767024704,17.055485936392724,0.29660913585561566,-16.758876024094302,232
16.967127107075584,0.30503437984344584,-16.662092803988724,16.6949376131581,0.2820770803806001,-16.412859891368225,261
16.574020776885348,0.28620730240263514,-16.287813651390874,16.22987139541491,0.23640548655417112,-15.993465727409431,290
16.078178630774183,0.2523258996772135,-15.825852483478114,15.697396295260539,0.23000773286397477,-15.46738778173396,319
15.344379292564854,0.23281350183118926,-15.11156573816066,14.580075956023899,0.21930790580479445,-14.360767465777101,348
15.542065226124823,0.33247409976172737,-15.209590857189308,16.736608623403363,0.48967868669898107,-16.24693149802959,377
17.65628103910234,0.33329882905659364,-17.32298182915432,17.217080344141056,0.18408521719738447,-17.03299463322732,406
17.081929699982933,0.23231656299010658,-16.849613109786297,16.736335568723426,0.19803059417589575,-16.53830631222345,435
16.72107099934739,0.2116859403439893,-16.509385114205056,16.50077543005479,0.18534535433338806,-16.315430227634128,464
16.515489498336102,0.19352674037382384,-16.321962468022154,16.32460886187258,0.18422629347944683,-16.14038247977738,493
16.331992915867446,0.1859137010416622,-16.146079150686717,16.146080861049416,0.16839116231530113,-15.977690570122373,522
16.13668657532075,0.17992057190446106,-15.956766096996235,15.920165272940576,0.15372118063732587,-15.766444653536366,551
15.875525028729255,0.1638645375313806,-15.711660669026065,15.598473751439457,0.14702730896198643,-15.451445723001935,580
15.466845313664177,0.15531556806070146,-15.311529796730722,15.040831439262998,0.13977971963122882,-14.901051479103291,609
14.39242309772193,0.15529112069320258,-14.237131827458526,12.644670131987175,0.1273323097060212,-12.517337765313883,638
16.584154440260512,0.2128378242221399,-16.371316407192108,16.706678458019695,0.13832195881193718,-16.56835748453056,667
16.678288160111702,0.12377654126092644,-16.554511561283334,16.484780742003853,0.11769897114914075,-16.36708055344303,696
16.478903979687338,0.11137448394180265,-16.367529418003205,16.300932791380756,0.10344550567390644,-16.19748680992464,725
16.322617372052278,0.10934872690345906,-16.213268460880435,16.15366274065676,0.10698490438208116,-16.046678121111036,754
16.159696800837576,0.11223222684965375,-16.047464440123907,15.989476701854604,0.10360448866818858,-15.88587127955614,783
15.983631785938469,0.11584897170124664,-15.867782878770587,15.800864565688952,0.10384936670286465,-15.697015002765486,812
15.781320979865935,0.11094044521861723,-15.67038047983996,15.567675539877563,0.09644719984679095,-15.471228405437639,841
15.528032866439062,0.10907407868920509,-15.418958905776254,15.294426639523126,0.11266132160625626,-15.181765395983131,870
15.200108185361213,0.1093734761057247,-15.090734816175837,14.894257461075235,0.10003124929107396,-14.794226317279106,899
14.652428284238166,0.10512751892882645,-14.547300731991196,14.081002556117236,0.09337357609672883,-13.987629173076257,928
12.996295961550342,0.10602302009767577,-12.890272853392881,15.289579737502917,0.11429888379257337,-15.175280815732163,957
27.655072545532093,2.3351885504864542,-25.31988419403446,20.11457952988886,0.7550496886261796,-19.359530558628318,986
17.44840479790836,0.31255278172014567,-17.13585221228552,15.965272548979362,0.18105341480896536,-15.784219387358268,1015
15.086885747730797,0.1779836120521352,-14.908902320735642,13.198816139086158,0.14351721991479924,-13.055299471964878,1044
13.528179331677489,0.13964775431379595,-13.38853178686712,12.889536300591663,0.12326150657856359,-12.766275591554894,1073
17.09056034950332,0.4566728982010645,-16.633887344579055,18.63554546052376,0.34779047755013526,-18.28775429514657,1102
17.941638908680638,0.1683586673542052,-17.773280033334483,16.96654632028225,0.10560727119445801,-16.86093868829508,1131
16.647793697285678,0.11637703428720561,-16.531416416693943,16.199421165263757,0.10854788797091594,-16.090873515711422,1160
16.000144559992712,0.1140164971483056,-15.88612818271086,15.567682916084221,0.0980974541301221,-15.469585587493086,1189
15.107287066248313,0.101674747309322,-15.005612206169895,14.031977442513526,0.08099007079031616,-13.950987689262998,1218
14.82381641930493,0.11241222098223298,-14.711404466050725,16.023833384556053,0.10442509904371954,-15.919408207446073,1247
16.152248962974337,0.09369080411034093,-16.058558252706813,16.026886357670335,0.08453428428784936,-15.942352564988939,1276
16.03420855218284,0.08837678059196262,-15.945831500708465,15.856931399455112,0.08954700537487469,-15.767384756982853,1305
15.833840833872129,0.09118332975885965,-15.74265727555213,15.631052759896338,0.07810198733236938,-15.552950698717506,1334
15.582429143533423,0.08440204610372457,-15.498027174843449,15.346651668042208,0.0738924383062177,-15.27275909153761,1363
15.23188642209525,0.0803786618049773,-15.151507914920627,14.889236256084612,0.0696922593412146,-14.819543349004425,1392
14.509541516792945,0.0761415775056185,-14.433399894403124,13.531156151695589,0.06701426801428331,-13.464141845703125,1421
12.618406100204787,0.07840531551851064,-12.540000932350706,11.589216958105037,0.07285373717282725,-11.516363903484514,1450
